Social Psychology,The scientific study of how we think about, influence, and relate to one another.
Attribution theory,The theory that we explain someone's behavior by crediting either the situation or the person's disposition.
Fundamental attribution error,A bias where observers underemphasize situational and environmental factors for the behavior of an actor while overemphasizing dispositional or personality factors.
Attitude,Feelings, often influenced by our beliefs, that predispose us to respond in a particular way to objects, people, and events.
Peripheral route persuasion,Occurs when people are influenced by incidental cues, such as a speaker's attractiveness.
Central route persuasion,Occurs when interested people focus on the arguments and respond with favorable thoughts.
Foot-in-the door phenomenon,The tendency for people who have first agreed to a small request to comply later with a larger request.
Role,A set of expectations (norms) about a social position, defining how those in the position ought to behave.
Cognitive dissonance theory,The theory that we act to reduce the discomfort we feel when two of our thoughts are inconsistent.
Conformity,Adjusting one's behavior or thinking to coincide with a group standard.
Normative social influence,Influence resulting from a person's desire to gain approval or avoid disapproval.
Informational social influence,Influence resulting from one's willingness to accept others' opinions about reality.
Social facilitation,Stronger responses on simple or well-learned tasks in the presence of others.
Social loafing,The tendency for people in a group to exert less effort when pooling their efforts toward attaining a common goal than when individually accountable.
Deindividuation,The loss of self-awareness and self-restraint occurring in group situations that foster arousal and anonymity.
Group polarization,The enhancement of a group's prevailing inclinations through discussion within the group.
Groupthink,The mode of thinking that occurs when the desire for harmony in a decision-making group overrides a realistic appraisal of alternatives.
Culture,Beliefs, customs, and traditions of a specific group of people.
Prejudice,Preconceived opinion that is not based on reason or actual experience.
Stereotype,A generalized belief about a group of people.
Discrimination,In classical conditioning, the learned ability to distinguish between a conditioned stimulus and stimuli that do not signal an unconditioned stimulus.
Just-world phenomenon,The tendency for people to believe the world is just and that people therefore get what they deserve and deserve what they get.
Ingroup,\"Us\"—people with whom we share a common identity.
Outgroup,\"Them\"—those perceived as different or apart from our in-group.
Ingroup bias,The tendency to favor our own group.
Scapegoat theory,The theory that prejudice offers an outlet for anger by providing someone to blame.
Other-race effect,The tendency to recall faces of one's own race more accurately than faces of other races.
Ethnocentrism,Belief in the superiority of one's nation or ethnic group.
Aggression,Any physical or verbal behavior intended to hurt or destroy.
Frustration-aggression principle,The principle that frustration- the blocking of an attempt to achieve some goal- creates anger which can generate aggression.
Social script,Culturally modeled guide for how to act in various situations.
Proximity,Accounts for the tendency for individuals to form interpersonal relations with those who are close by.
Passionate love,An aroused state of intense positive absorption in another, usually present at the beginning of a love relationship.
Compassionate love,The deep affectionate attachment we feel for those with whom our lives are intertwined.
Equity,A condition in which people receive from a relationship in proportion to what they give to it.
Self-discipline,The ability to control one's feelings and overcome one's weaknesses; the ability to pursue what one thinks is right despite temptations to abandon it.
Self-disclosure,Revealing intimate aspects of oneself to others.
Mere exposure effect,The phenomenon that repeated exposure to novel stimuli increases liking of them.
Altruism,Unselfish regard for the welfare of others.
Bystander effect,The tendency for any given bystander to be less likely to give aid if other bystanders are present.
Social exchange theory,The theory that our social behavior is an exchange process, the aim of which is to maximize benefits and minimize costs.
Reciprocity norm,An expectation that people will help, not hurt, those who have helped them.
Social-responsibility norm,An expectation that people will help those dependent upon them.
Conflict,The arousal of two or more strong motives that cannot be solved together
Social trap,A situation in which the conflicting parties, by each rationally pursuing their self-interest, become caught in mutually destructive behavior.
Mirror-image perception,Mutual views often held by conflicting people, as when each side sees itself as ethical and peaceful and views the other side as evil and aggressive.
Self-fulfilling prophecy,The tendency for people to behave as they are expected to behave.
Superordinate goals,Shared goals that override differences among people and require their cooperation.
GRIT,Graduated and Reciprocated Initiatives in Tension-Reduction - a strategy designed to decrease international tensions.
Antisocial behavior,Actions that are deliberately hurtful or destructive to another person.
Prosocial behavior,Positive, constructive, helpful behavior. The opposite of antisocial behavior.
Leon Festinger,Cognitive dissonance theory (the state of having inconsistent thoughts, beliefs, or attitudes, especially as relating to behavioral).
Solomon Asch,Conducted famous conformity experiment that required subjects to match lines. His main finding was that peer pressure can change opinion and even perception. Asch found the majority of the participants succumbed at least once to the pressure and went with the majority.
Stanley Milgram,Obedience to authority in The Milgram Experiment: he had participants administer what they believed were dangerous electrical shocks to other participants and wanted to see if Germans were an aberration or if all people were capable of committing evil actions.
John Darley,Social psychologist, studied diffusion of responsibility and analyzed the causes of bystander apathy to people in need. He published extensively on altruism and bystander intervention, deviance and conformity, attribution theory, social comparison processes, and expectancy confirmation.
Bibb Latane,A social psychologist who worked with John Darley and focused on social loafing and diffusion of responsibility. He published many articles on social attraction in animals, social loafing in groups, and the spread of social influence in populations.
Philip Zimbardo,Conducted the Stanford Prison experiment which demonstrated the power of social situations through a mock prison experiment with normal, healthy college students.
